zipCode,count
19348,22
94558,44
48076,4
36874,4
92301,16
17067,2
48047,24
15090,12
28216,22
64836,14
94589,2
33544,22
85746,20
77873,2
85749,4
55126,20
93301,4
76705,22
7027,8
18447,2
T7X 4M4,2
38305,8
58854,6
54701,28
47025,14
48420,6
91709,14
66209,18
27540,28
77459,38
30104,4
34239,4
52722,44
75110,12
37086,22
46714,18
85629,32
46142,28
32174,20
29020,8
21128,18
37174,30
95610,20
16137,6
33559,6
72011,4
84015,24
34761,24
76009,18
43605,6
49028,2
34744,24
34240,12
35216,22
29621,22
32225,16
62526,16
98375,14
28306,14
41049,4
96001,4
64098,4
43223,16
85204,10
27520,30
30607,4
37922,34
46517,10
43015,52
29710,36
34202,24
57701,46
85226,18
0,138
62864,18
40207,28
32724,10
53718,8
37015,16
30009,2
27606,26
33578,16
76036,18
46012,16
85140,22
55318,16
78249,22
75254,6
29642,30
46143,42
29671,16
1507,6
37312,24
52001,20
89084,28
95667,28
46074,50
83864,22
34116,6
33647,34
95843,28
8050,22
45044,26
7801,2
43614,20
23060,36
60548,8
22408,4
33469,4
65251,2
90280,4
29205,10
46360,36
43207,36
33917,10
98629,4
59101,24
16105,10
29680,28
60450,28
37996,2
37617,6
20132,6
23227,2
78130,52
99504,22
29501,20
64114,20
15236,16
35903,2
76052,10
36303,2
40475,26
62633,4
33778,10
72143,18
48073,6
31904,26
30012,2
28075,16
30067,20
46280,6
78254,40
28734,24
62702,14
85710,18
46368,34
85031,4
77041,2
83263,4
78570,2
99577,32
49341,30
27613,14
30043,40
21090,12
24153,24
25704,4
57223,4
46809,12
84121,14
82636,4
98019,14
44236,24
37129,44
76107,10
97123,30
44857,10
48038,20
71744,2
23139,38
80634,46
53220,28
78025,2
75041,8
23602,12
81501,28
28078,42
40351,16
74075,12
63028,30
81507,10
78227,36
32780,22
83442,4
37110,10
19904,20
44663,24
57212,2
14086,20
80104,6
62538,2
V3X 3K4,2
68769,4
32082,42
86301,18
19333,4
95630,34
95337,18
94706,8
80220,18
78229,18
73072,18
43611,12
37018,4
37167,28
66044,8
75002,38
78155,40
55024,36
43112,12
61611,46
